tweetId,is_political,got_shown,true?,views,topic,,,,
1788457879239893266,FALSE,1,,,political,,,,
1760294001184223690,FALSE,1,gone,,,,,,
1768965177196601578,FALSE,1,gone,,,,sample size,,
1766971038728941732,FALSE,1,,,political,,25,0.28,political rate
1767337130571816963,FALSE,1,,,political,,41,0.27,political rate
1819787035831652673,FALSE,1,gone,,,,58,0.293103448,political rate
1814121104329552092,FALSE,1,gone,,,,18,0.17,false positive rate
1733353505614676404,FALSE,1,FALSE,"88,300",not political,,30,0.23,false positive rate
1722513311500288236,FALSE,1,FALSE,"1,900,000",game,,40,0.225,false positive rate
1747896954296926309,FALSE,1,,,political,,,,`
1706710983572427135,FALSE,1,FALSE,"831,400",tech,,,,
1540047154659459073,FALSE,1,,,political,,,,
1741095207205232873,FALSE,1,FALSE,"232,900",not political,,,,
1784266269069292013,FALSE,1,gone,,,,,,
1757675990560424282,FALSE,1,gone,,,,,,
1701270131974828160,FALSE,1,FALSE,"3,500,000",sports,,,,
1801815489481687299,FALSE,1,gone,,,,,,
1811671842257797296,FALSE,1,TRUE,"128,500",game,,,,
1769688615506919655,FALSE,1,FALSE,"73,700",geoengineering,,,,
1733392551434981701,FALSE,1,FALSE,"530,400",crypto,,,,
1690083945294036994,FALSE,1,gone,,,,,,
1808574748802048339,FALSE,1,TRUE,"443,000",music,"*CN just adds context, but original tweet was not misleading.",,,
1778494136187768919,FALSE,1,FALSE,"340,000",film,,,,
1720290219382194389,FALSE,1,gone,,,,,,
1771831816762327103,FALSE,1,gone,,,,,,
1655832453339119620,FALSE,1,FALSE,"93,600",history,,,,
1771494965798920274,FALSE,1,opinion,"715,700",celebrity,,,,
1784280878665060679,FALSE,1,gone,,,,,,
1730964864611312014,FALSE,1,FALSE,"135,400",game,,,,
1691550740790009999,FALSE,1,FALSE,"9,100,000",not political,,,,
1707458334679298438,FALSE,1,gone,,,,,,
1562287970157314048,FALSE,1,FALSE,,not political,,,,
1678974117515599872,FALSE,1,gone,,,,,,
1762224195629461759,FALSE,1,gone,,,,,,
1760923885283995883,FALSE,1,gone,,,,,,
1678065932730507266,FALSE,1,FALSE,"914,900",not political,,,,
1742656234631856281,FALSE,1,FALSE,"81,900",not political,,,,
1841589432891154797,FALSE,1,,,political - iran,,,,
1751736973734150361,FALSE,1,gone,,,,,,
1720073606699589948,FALSE,1,gone,,,,,,
1765936288652239213,FALSE,1,gone,,,,,,
1768013722088603837,FALSE,1,,,poltical - racism,,,,
1822307945624879520,FALSE,1,FALSE,"2,200,000",sports,,,,
1727939219837067439,FALSE,1,gone,,,,,,
1801455404649513147,FALSE,1,FALSE,"2,400,000",entertainment,,,,
1783135268041564236,FALSE,1,?,,,,,,
1740735169328198093,FALSE,1,gone,,,,,,
1754251718462734537,FALSE,1,gone,,,,,,
1850474558031020034,FALSE,1,gone,,,,,,
1849279262194380855,FALSE,1,FALSE,"57,900",music,x,,,
1744764618168471611,FALSE,1,opinion,"240,600",keto drops,,,,
1732471521807917269,FALSE,1,gone,,,,,,
1826057296906170733,FALSE,1,FALSE,"1,200,000",tech,,,,
1652594361857634305,FALSE,1,,,political,,,,
1775700824280474038,FALSE,1,gone,,,,,,
1851052438511300902,FALSE,1,opinion,"2,900,000",music,,,,
1771987531245945219,FALSE,1,,,political,,,,
1781784236351001046,FALSE,1,opinion,"843,600",art,,,,
1727741299598758167,FALSE,1,,,political,,,,
1722244372887163088,FALSE,1,FALSE,"3,800,000",music,,,,
1607549802052452352,FALSE,1,FALSE,"39,900",earthquake,,,,
1725556549651681647,FALSE,1,FALSE,"119,700",tech,,,,
1590713261468442624,FALSE,1,,,political,,,,
1605303983161061376,FALSE,1,FALSE,"5,200,000",ufo,,,,
1824918901362176084,FALSE,1,gone,,,,,,
1841886629683966217,FALSE,1,gone,,,,,,
1816489937472270365,FALSE,1,FALSE,"4,300,000",sports,,,,
1778843408385151213,FALSE,1,TRUE,"5,600,000",OJ Simpson,x,,,
1779948572508831931,FALSE,1,gone,,,,,,
1811282625522225174,FALSE,1,?,,,,,,
1849040190272372806,FALSE,1,gone,,,,,,
1811416539213799783,FALSE,1,,,political - israel,,,,
1743856843128963202,FALSE,1,opinion,"475,800",conspiracy theory - sun,,,,
1745307620502552865,FALSE,1,FALSE,"1,300,000",scam,,,,
1664369727593148416,FALSE,1,,,political,,,,
1799860881171570891,FALSE,1,?,,,,,,
1781911826965709146,FALSE,1,?,,,,,,
1755319403158163498,FALSE,1,FALSE,"3,800,000",ufo,,,,
1855435367043756495,FALSE,1,,,political,,,,
1831709114558267840,FALSE,1,FALSE,"16,200,000",dating,,,,
1787071994581954782,FALSE,1,opinion,"16,900",tech,,,,
1724912995380121679,FALSE,1,FALSE,"19,000,000",entertainment,,,,
1604853627062870016,FALSE,1,FALSE,"5,800,000",sports,,,,
1777003213213872384,FALSE,1,FALSE,"102,000",science,,,,
1773714736246399251,FALSE,1,,,political,,,,
1851101804433404396,FALSE,1,gone,,,,,,
1826236363823550781,FALSE,1,,,political,,,,
1687461415232135168,FALSE,1,FALSE,"2,500,000",gaming,,,,
1794022715759661324,FALSE,1,gone,,,,,,
1734045006799811022,FALSE,1,,,political,,,,
1835526480140329109,FALSE,1,FALSE,"4,700,000",boy with water,,,,
1694702478359445960,FALSE,1,,,,,,,
1740154772177719795,FALSE,1,,,,,,,
1851930047201804585,FALSE,1,,,,,,,
1638053978452680705,FALSE,1,,,,,,,
1778084955454603690,FALSE,1,,,,,,,
1842021882968551508,FALSE,1,,,,,,,
1756669522713379122,FALSE,1,,,,,,,
1668165636172705793,FALSE,1,,,,,,,
1800559346713276707,FALSE,1,,,,,,,
