tweetId,got_shown,true?,views,topic,,,,
1852470990116360293,1,gone,,,,,,
1782569694538748292,1,FALSE,"186,700",politicial - gay/trans,,,,
1838291638302761074,1,FALSE,"432,900",political - uk,,sample size,,
1836291937604604358,1,gone,,,,20,0.3,false positive rate
1660211629986836480,1,opinion,"67,400",chemtrails,,30,0.3,false positive rate
1708414466411340009,1,gone,,,,40,0.28,false positive rate
1851101689282982271,1,?,,,,,,
1818447283052052768,1,TRUE,outlier,sexual,,20,0.65,political rate
1755181130771272025,1,TRUE,"461,200",political - spain- sexist language,,30,0.63333333,political rate
1760227031248249234,1,FALSE,"56,600",israel,,,,
1776048228158284203,1,opinion,"311,400",new game,,,,
1792783604197818851,1,FALSE,"281,700",canadian immigration,,,,
1849583732795252738,1,gone,,,,,,
1826152257639035286,1,gone,,,,,,
1689298043550515202,1,TRUE,"871,400",desantis,,,,
1816150119097524227,1,gone,,,,,,
1834642971733409819,1,gone,,,,,,
1790813761789403316,1,TRUE,outlier,guitar pick case,,,,
1719701611545501977,1,FALSE,"1,800,000",israel,,,,
1711377848278126908,1,FALSE,"1,600,000",F1 race,,,,
1686543842336518144,1,FALSE,"703,900",trump,,,,
1849217550837817694,1,gone,,,,,,
1745996164481360233,1,FALSE,"228,200",pizzagate,,,,
1761259431558320558,1,gone,,,,,,
1838249768977313912,1,FALSE,"17,500",india politics,,,,
1603060337535762434,1,gone,,,,,,
1740092626811162824,1,gone,,,,,,
1695546343383507080,1,FALSE,"82,800",misquote,,,,
1706637264824991814,1,FALSE,"440,300",airbnb,,,,
1804280733139149241,1,gone,,,,,,
1741658990956749221,1,FALSE,"141,300",clinton russia,,,,
1612563834010742784,1,FALSE,"806,500",biden,,,,
1805915931240956046,1,FALSE,"361,300",priest and muslim,x,,,
1806743356325732565,1,gone,,,,,,
1594417867725971457,1,opinion,,political - immigration,,,,
1789719813834588443,1,gone,,,,,,
1667636714041405441,1,FALSE,"10,800,000",sports,,,,
1780079783415574975,1,TRUE,"4,100,000",biden - taxes,,,,
1537789804720660481,1,FALSE,,political - sex scandal,,,,
1724214251852542419,1,?,,,,,,
1773015586093617180,1,FALSE,"93,000",nato,,,,
1845499163221336093,1,FALSE,"1,500,000",putin,,,,
1820294447600402523,1,FALSE,"5,200,000",jacob elordi,,,,
1809063243043995803,1,gone,,,,,,
1805751431191818264,1,gone,,,,,,
1703164321419993407,1,TRUE,"11,900,000",taylor swift,,,,
1798803299480818126,1,FALSE,"42,600",covid,,,,
1674866197626511375,1,gone,,,,,,
1839966790358872247,1,FALSE,"1,600,000",scam,x,,,
1765132199672832251,1,FALSE,"325,500",gaming,,,,
1782598600331313443,1,FALSE,"907,700",israel,,,,
1729542573956468867,1,FALSE,"6,300,000",,,,,
1806119944473501737,1,TRUE,"701,200",israel,,,,
1742908680805249382,1,gone,,,,,,
1728482646588875109,1,?,,,,,,
1840997237859529104,1,gone,,,,,,
1776127310149685451,1,opinion,"8,500,000",rope-making,,,,
1727955779452637202,1,gone,,,,,,
1670605414377947138,1,FALSE,"1,100,000",sam bankman-fried,,,,
1748143055704592419,1,FALSE,"518,100",mental health,,,,
1767786868312043917,1,FALSE,"401,700",traffic,,,,
1784245743475171519,1,FALSE,"677,700",ukraine,,,,
1848733607013101841,1,FALSE,"1,300,000",race,,,,
1749036931109822872,1,,,,,,,
1737022950522655145,1,,,,,,,
1743759675210772612,1,,,,,,,
1855035103321247900,1,,,,,,,
1771268365618712798,1,,,,,,,
1777419017440883072,1,,,,,,,
1757136865583313233,1,,,,,,,
1613286103217328154,1,,,,,,,
1785874858099810485,1,,,,,,,
1815519887600562456,1,,,,,,,
1828143776470278187,1,,,,,,,
1806391407768453441,1,,,,,,,
1701705903450595611,1,,,,,,,
1748269959892070459,1,,,,,,,
1854881299334402075,1,,,,,,,
1841929984450965674,1,,,,,,,
1816294856828068310,1,,,,,,,
1761802724146868347,1,,,,,,,
1746025331570418070,1,,,,,,,
1821448393077481602,1,,,,,,,
1742923660703494616,1,,,,,,,
1821571471300575406,1,,,,,,,
1702119711264190569,1,,,,,,,
1774829090836513176,1,,,,,,,
1777483612793004175,1,,,,,,,
1791383484793032903,1,,,,,,,
1637219267752914944,1,,,,,,,
1714337584338317437,1,,,,,,,
1702427210614002007,1,,,,,,,
1766867939330859170,1,,,,,,,
1781416712769855653,1,,,,,,,
1786956500751266123,1,,,,,,,
1711340677571674567,1,,,,,,,
1776000377395007965,1,,,,,,,
1822936827440853038,1,,,,,,,
1745415186104648065,1,,,,,,,
1786582360051335458,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
